"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Terry Rozier","Mia","G","30","26","31.8","23.6","8.2","58","0.914","240","0.467","138","0.319","0.471","0.507","15.7","4.5","5","0.8","0.3","1.3","20.2","20.7","25.2","8.9","109","110.5"
"","Evan Mobley","Cle","C","22.8","42","30.7","20.6","14.4","144","0.701","419","0.604","43","0.372","0.6","0.623","15.6","9.9","3.2","0.9","1.5","1.9","25.5","18.8","28.7","10.3","120.8","102.4"
"","Derrick White","Bos","G","29.7","67","32.7","18.9","11.9","145","0.897","330","0.555","452","0.4","0.581","0.614","15.5","4.3","5.2","1","1.3","1.6","19.8","20.7","25","8.6","126.5","109.2"
"","Dalano Banton","Por","F","24.4","23","27.3","26.6","13.5","65","0.769","190","0.468","123","0.35","0.49","0.523","15.5","4.7","3","0.8","0.5","2.1","20.3","18.6","23.3","8.8","104","116.1"
"","Malik Monk","Sac","G","26.1","72","26","25.8","14.4","205","0.829","470","0.528","423","0.35","0.526","0.564","15.4","2.9","5.1","0.6","0.5","2.1","18.4","20.6","23.5","9.4","112.9","112.1"
"","Simone Fontecchio","Det","F","28.3","16","30.3","19.2","8.2","26","0.846","89","0.539","101","0.426","0.592","0.613","15.4","4.4","1.8","0.9","0.3","1.1","19.8","17.2","21.6","6.5","118.3","116.7"
"","Tim Hardaway Jr.","Dal","G-F","32","70","27.5","23","6.4","163","0.853","354","0.475","547","0.36","0.514","0.548","15.2","3.3","1.8","0.5","0.1","0.9","18.5","17","20.3","6.5","110.5","115.7"
"","Jaden Ivey","Det","G","22.1","69","28.6","24.6","16.6","276","0.761","534","0.496","319","0.323","0.492","0.538","15.2","3.5","3.7","0.8","0.6","2.5","18.7","18.9","22.4","8.1","104.9","113.6"
"","John Collins","Uta","F","26.5","68","28","20.3","11.6","185","0.795","514","0.605","232","0.371","0.59","0.621","15.1","8.5","1.1","0.6","0.9","1.4","23.6","16.2","24.7","7.4","119.8","110.8"
"","OG Anunoby","Tor","F","26.7","27","33.3","18.3","11.8","46","0.717","158","0.608","163","0.374","0.584","0.598","15.1","4","2.7","1","0.5","1.6","19.1","17.8","21.7","6.6","112.6","115.8"
"","Donte DiVincenzo","Nyk","G","27.2","72","27.8","21.5","9.9","96","0.729","254","0.539","609","0.402","0.585","0.596","15","3.6","2.6","1.3","0.4","1.3","18.6","17.6","21.2","7.5","120","107.9"
"","Immanuel Quickley","Nyk","G","24.8","30","24","24.3","8.5","94","0.872","173","0.509","162","0.395","0.549","0.598","15","2.6","2.5","0.5","0.1","1","17.6","17.5","20","7.7","123.7","110.9"
"","Keegan Murray","Sac","F","23.6","68","33.2","17.8","6.5","115","0.817","408","0.566","423","0.359","0.552","0.574","14.9","5.4","1.6","1","0.7","0.9","20.3","16.5","21.9","6.1","116.4","111.1"
"","Dennis Schroder","Bro","G","30.5","23","32.2","22.1","17","44","0.727","175","0.423","122","0.443","0.522","0.541","14.9","3.1","5.9","0.6","0.3","2.7","18","20.8","23.9","8.1","106.7","116.1"
"","Khris Middleton","Mil","F","32.6","48","26.8","23.8","15.8","106","0.84","342","0.553","219","0.37","0.553","0.584","14.8","4.5","5.3","0.9","0.3","2.2","19.3","20","24.6","10.5","115","108.3"
"","Kelly Oubre Jr.","Phi","F-G","28.3","60","29.7","22.1","8.7","196","0.745","482","0.515","274","0.296","0.489","0.525","14.8","4.8","1.4","1.1","0.6","1.2","19.6","16.2","21","6.2","107.4","108.5"
"","Gordon Hayward","Cha","F","34","25","31.9","21.1","14.6","81","0.765","236","0.496","61","0.361","0.505","0.544","14.5","4.7","4.6","1.1","0.5","2","19.2","19.1","23.8","8.5","109.1","117.2"
"","Marcus Smart","Mem","G","30.1","20","30.2","23","20.7","56","0.768","103","0.583","134","0.313","0.519","0.552","14.5","2.7","4.3","2.1","0.3","3.1","17.1","18.8","21.4","7.3","99.9","108.8"
"","OG Anunoby","Nyk","F","26.7","17","35.2","16.7","12.6","40","0.825","110","0.591","77","0.364","0.572","0.604","14.5","4.9","1.6","1.7","1.1","1.6","19.5","16.1","21.1","5.5","116.3","108.2"
"","Bennedict Mathurin","Ind","F","21.8","59","26.1","23.4","12.8","224","0.821","449","0.481","214","0.374","0.507","0.562","14.5","4","2","0.6","0.2","1.6","18.5","16.5","20.5","7.5","109.4","116.1"
"","Deni Avdija","Was","F","23.2","67","29.5","20","16.6","227","0.731","497","0.555","203","0.389","0.564","0.597","14.3","7.1","3.8","0.8","0.4","2.1","21.4","18","25.2","9.9","112.9","113.2"
"","Norman Powell","Lac","G","30.8","69","26.1","20.1","8.2","153","0.824","350","0.557","344","0.436","0.605","0.634","14","2.6","1.1","0.6","0.3","0.9","16.6","15.1","17.7","5.2","121.1","114"
"","Trey Murphy III","Nor","F","23.8","48","28.2","18.9","4.8","117","0.786","145","0.6","368","0.37","0.567","0.597","14","4.6","2.1","0.8","0.5","0.5","18.7","16.1","20.7","7.3","124.3","111.8"
"","Aaron Gordon","Den","F","28.5","67","31.6","18","12.9","240","0.654","543","0.613","125","0.288","0.579","0.602","13.9","6.5","3.4","0.8","0.6","1.5","20.4","17.3","23.7","8.5","122.5","111.9"
"","Jalen Duren","Det","C","20.4","56","29.7","18.1","18.7","162","0.778","515","0.633","3","0","0.629","0.66","13.9","12","2.5","0.5","0.8","2.1","25.9","16.4","28.4","10.1","122.2","107.5"
"","Dennis Schroder","Tor","G","30.5","51","30.6","19.4","12.9","149","0.852","339","0.501","220","0.35","0.511","0.559","13.7","2.7","6.1","0.9","0.2","1.6","16.4","19.8","22.6","8","117.5","116.5"
"","Rudy Gobert","Min","C","31.8","67","34","15.3","16.2","336","0.64","536","0.657","3","0","0.653","0.669","13.7","12.9","1.3","0.6","2.1","1.6","26.6","15","27.9","7.2","129.4","99.3"
"","Cameron Johnson","Bro","F","28.1","55","27.8","19.6","8.5","105","0.781","253","0.526","340","0.397","0.566","0.589","13.7","4.4","2.5","0.8","0.2","1","18.1","16.1","20.5","7.7","119.2","113.4"
"","Saddiq Bey","Atl","F","25","63","32.7","16.9","7.2","203","0.837","339","0.522","358","0.316","0.497","0.549","13.7","6.5","1.5","0.8","0.2","0.9","20.2","15.2","21.7","6.3","119.8","119.2"
"","Marvin Bagley III","Was","F","25","22","24.5","20.8","10.9","63","0.698","197","0.594","16","0.5","0.606","0.627","13.7","8.2","1.3","0.5","0.9","1.2","21.9","15","23.2","8.6","124.7","115.5"
"","Caris LeVert","Cle","G","29.6","61","28.7","23.2","12.1","174","0.747","434","0.475","305","0.311","0.472","0.507","13.6","4","5.3","1","0.5","1.7","17.6","18.9","22.9","9.2","108.7","109.1"
"","P.J. Washington","Cha","F","25.6","44","29.2","21.1","11.5","94","0.713","265","0.558","244","0.324","0.524","0.545","13.6","5.3","2.2","0.9","0.7","1.5","18.9","15.8","21.1","7.4","106.5","113.5"
"","Grayson Allen","Pho","G","28.5","68","33.6","14.2","12.5","129","0.884","210","0.571","398","0.47","0.659","0.688","13.5","3.8","3.1","0.9","0.6","1.3","17.3","16.6","20.4","6.4","131.1","113.7"
"","Duncan Robinson","Mia","F","29.9","63","28.5","19.2","12.2","88","0.886","200","0.575","447","0.405","0.597","0.621","13.5","2.6","3","0.7","0.2","1.4","16.1","16.5","19","6.6","116","108.3"
"","Bobby Portis","Mil","F","29.1","73","24.3","22.5","8.9","118","0.788","580","0.54","218","0.394","0.554","0.575","13.4","7.3","1.2","0.8","0.4","1.1","20.7","14.5","21.8","8.1","113.7","105.7"
"","GG Jackson","Mem","F","19.3","39","23.9","23.6","10.7","120","0.75","194","0.51","215","0.363","0.528","0.565","13.4","3.8","1","0.5","0.5","1.3","17.2","14.4","18.2","6.2","108.1","114.3"
"","Scoot Henderson","Por","G","20.2","55","27.5","26.3","20.5","184","0.821","457","0.416","220","0.305","0.429","0.483","13.3","3.1","4.9","0.7","0.2","3.2","16.4","18.2","21.3","8.5","96","111.5"
"","Jabari Smith Jr.","Hou","F","20.9","67","31.6","17.5","10.2","163","0.816","398","0.523","321","0.358","0.529","0.565","13.3","8.3","1.4","0.7","0.7","1.2","21.7","14.8","23.1","6.8","114.4","105.7"
"","Gary Trent Jr.","Tor","G-F","25.2","65","27.7","19.5","5.1","87","0.77","340","0.45","403","0.402","0.533","0.55","13.2","2.6","1.6","1","0.2","0.6","15.8","14.8","17.4","5.5","110.7","118.2"
"","Grant Williams","Cha","F","25.3","22","29.7","19.5","17","69","0.768","114","0.596","101","0.337","0.553","0.593","13.2","5.1","2.5","0.8","0.5","2","18.3","15.7","20.8","7.4","110.9","113.1"
"","Rui Hachimura","Lal","F","26.1","60","26.3","18.4","6.6","117","0.735","381","0.591","198","0.424","0.606","0.625","13.1","4","1.1","0.6","0.3","0.7","17.1","14.2","18.2","5.9","119.9","113.3"
"","Naz Reid","Min","C-F","24.6","72","23.9","22.7","11","127","0.764","379","0.546","355","0.408","0.578","0.599","13.1","5.1","1.3","0.7","0.9","1.3","18.3","14.4","19.5","7.4","112.6","102.1"
"","Andrew Wiggins","Gol","F","29.1","64","27","20.4","9.9","163","0.736","475","0.501","220","0.359","0.513","0.543","13","4.5","1.7","0.6","0.5","1.2","17.5","14.8","19.3","6.9","111.5","112.3"
"","Dillon Brooks","Hou","F","28.2","64","30.9","17.7","10.5","132","0.841","358","0.5","326","0.362","0.52","0.555","12.9","3.5","1.7","0.9","0.1","1.3","16.3","14.5","18","5.5","109.6","106.8"
"","Jrue Holiday","Bos","G","33.8","62","33.1","16.2","15.2","72","0.833","336","0.518","287","0.446","0.587","0.605","12.8","5.4","4.9","0.9","0.8","1.8","18.2","17.7","23.1","8.4","122.5","110.6"
"","Corey Kispert","Was","F","25.1","72","24.5","19.8","10.9","136","0.728","270","0.644","418","0.38","0.6","0.618","12.8","2.7","1.7","0.5","0.2","1.2","15.5","14.5","17.2","6.3","113.4","118.4"
"","Buddy Hield","Phi","G","31.3","24","27.6","19.5","10.2","15","0.933","98","0.52","165","0.388","0.559","0.571","12.8","3.2","3.5","0.9","0.4","1.3","16","16.4","19.5","7.6","116.4","111.7"
"","Mark Williams","Cha","C","22.3","19","26.8","17","10.1","64","0.719","151","0.649","0","0","0.649","0.675","12.7","9.7","1.2","0.8","1.1","0.9","22.4","13.9","23.6","7.9","137","109.9"
"","Keyonte George","Uta","G","20.4","67","26.6","22.5","18.3","196","0.842","332","0.455","382","0.335","0.48","0.532","12.7","2.9","4.6","0.5","0.1","2.4","15.6","17.3","20.1","8.3","105.5","120.5"
"","Alec Burks","Det","G","32.7","43","20.9","23.4","7.3","134","0.903","159","0.384","247","0.401","0.516","0.581","12.6","2.6","1.6","0.5","0.3","0.7","15.1","14.1","16.7","7.2","118.6","116.2"
"","Spencer Dinwiddie","Bro","G","31","48","30.7","18.5","11","160","0.781","221","0.48","278","0.32","0.48","0.53","12.6","3.3","6","0.8","0.2","1.3","15.9","18.6","21.9","8.2","118.6","115.3"
"","Jonas Valanciunas","Nor","C","31.9","73","24.1","20.4","13","182","0.797","541","0.608","110","0.336","0.591","0.625","12.5","9.2","2.1","0.4","0.9","1.3","21.7","14.6","23.8","10.3","124.4","100.5"
"","Max Strus","Cle","F","28","62","32","17.6","12.7","80","0.788","223","0.561","437","0.346","0.533","0.551","12.4","4.7","3.8","0.9","0.5","1.5","17","16.1","20.8","7.6","111","107.8"
"","Jalen Suggs","Orl","G","22.8","66","26.8","20","16.1","126","0.754","289","0.536","346","0.396","0.568","0.591","12.4","3.1","2.7","1.4","0.6","1.8","15.5","15","18.1","7","110.3","103.5"
"","Brook Lopez","Mil","C","36","70","30.8","15.6","8.9","113","0.823","309","0.621","358","0.36","0.578","0.603","12.3","5.3","1.7","0.6","2.4","0.9","17.6","14","19.3","6.2","120.9","111.3"
"","Harrison Barnes","Sac","F","31.8","73","29.3","15.6","7.3","166","0.807","313","0.572","344","0.392","0.581","0.614","12.3","3","1.2","0.6","0.2","0.7","15.3","13.5","16.4","4.8","121.8","117.5"
"","Jaime Jaquez Jr.","Mia","G","23.1","66","29.2","18.7","13.2","157","0.803","460","0.557","183","0.311","0.531","0.568","12.3","3.9","2.6","1","0.2","1.5","16.2","14.9","18.8","6.8","111.6","107.7"
"","Aaron Nesmith","Ind","G-F","24.5","65","27.7","16.1","9.3","120","0.75","269","0.561","309","0.43","0.606","0.627","12.2","3.8","1.5","0.9","0.7","0.9","15.9","13.7","17.4","5.9","120.9","110.8"
"","Josh Giddey","Okc","G","21.5","72","24.8","23","15.8","102","0.814","535","0.529","223","0.341","0.524","0.546","12.2","6.2","4.5","0.7","0.5","2","18.4","16.7","22.9","11.3","111.4","110"
"","Bruce Brown","Ind","G","27.6","33","29.7","16.7","11.5","82","0.817","213","0.545","101","0.327","0.527","0.568","12.1","4.7","3","1.1","0.2","1.2","16.7","15.1","19.8","7.5","115","114.1"
"","Nic Claxton","Bro","C","25","64","29.9","15.7","12.6","179","0.575","531","0.631","5","0.2","0.628","0.631","12.1","9.9","2.1","0.7","2","1.2","22.1","14.2","24.1","8.4","125.4","108.1"
"","Cam Whitmore","Hou","F","19.7","38","17.8","27.6","8.9","88","0.67","197","0.553","169","0.361","0.548","0.568","12.1","3.9","0.5","0.6","0.3","0.9","16","12.6","16.4","6.4","108.7","107.7"
"","Tyus Jones","Was","G","27.9","66","29.3","16.3","9","40","0.8","410","0.537","256","0.414","0.569","0.578","12","2.7","7.3","1.1","0.3","1","14.7","19.3","22","8.4","126.3","122.8"
"","Buddy Hield","Ind","G","31.3","52","25.7","18.6","10.7","33","0.848","160","0.575","357","0.384","0.575","0.586","12","3.2","2.7","0.8","0.6","1.2","15.2","14.7","17.9","7.3","113.9","115.8"
"","Cole Anthony","Orl","G","23.9","72","23","23.5","14.1","209","0.818","442","0.495","247","0.332","0.496","0.547","11.9","4","3","0.8","0.5","1.6","15.9","14.9","18.9","9.1","110.8","103.8"
"","Ayo Dosunmu","Chi","G","24.2","72","28.7","17.1","12.1","97","0.814","392","0.569","278","0.399","0.581","0.602","11.9","2.8","3.1","0.8","0.5","1.3","14.7","15.1","17.8","6.5","118.5","114"
"","Tre Mann","Cha","G","23.2","19","31.1","17.9","14.6","36","0.722","117","0.513","75","0.36","0.523","0.546","11.9","4.8","5.1","1.5","0.1","1.7","16.8","17","21.8","8.5","111.3","116.2"
"","Kelly Olynyk","Tor","F-C","32.9","21","25.4","20.7","22.4","57","0.807","125","0.6","55","0.327","0.567","0.61","11.9","5","4.5","1.3","0.7","2.5","16.9","16.4","21.4","10.2","113.5","105.3"
"","Lamar Stevens","Mem","F","26.7","14","21.7","23.5","9.2","32","0.813","116","0.509","22","0.318","0.504","0.542","11.8","4.7","0.9","0.6","0.8","1","16.5","12.6","17.4","6.8","105.8","109.6"
"","Malik Beasley","Mil","G","27.3","70","29.8","14.6","7.1","34","0.706","159","0.535","483","0.431","0.618","0.623","11.7","3.8","1.4","0.8","0.1","0.7","15.5","13","16.9","5.3","119.8","112.5"
"","Eric Gordon","Pho","G","35.3","61","28.6","16.7","10.7","60","0.8","210","0.562","366","0.388","0.575","0.589","11.6","2","2.1","0.9","0.5","1.1","13.6","13.8","15.8","5.1","113.8","116.6"
"","Jeremy Sochan","San","G","20.9","74","29.6","18.8","15.3","144","0.771","549","0.492","227","0.308","0.483","0.513","11.6","6.4","3.4","0.8","0.5","1.9","18.1","15","21.4","8.5","103.6","112.8"
"","Scotty Pippen Jr.","Mem","G","23.4","12","23.6","21","22.9","37","0.676","57","0.474","37","0.541","0.606","0.63","11.6","3.2","4.5","1.3","0.5","2.3","14.8","16.1","19.3","9.3","115.6","106"
"","De'Anthony Melton","Phi","G","25.8","36","27.8","18.2","10.1","79","0.835","141","0.433","207","0.362","0.499","0.54","11.5","3.8","3.1","1.6","0.4","1.1","15.3","14.5","18.3","7.4","113.8","109.5"
"","Daniel Gafford","Dal","F-C","25.5","21","21","17.2","12.2","49","0.653","137","0.766","0","0","0.766","0.763","11.5","7.4","1.4","0.8","1.9","0.9","19","12.9","20.3","9.4","145.7","102.1"
"","Vasilije Micic","Cha","G","30.2","22","27.4","20.6","20.5","43","0.86","135","0.556","74","0.297","0.517","0.555","11.5","2","5.9","0.8","0.1","2.5","13.5","17.4","19.4","7.5","108.2","119.9"
"","Clint Capela","Atl","C","29.9","65","25.5","17.4","10.4","179","0.642","551","0.568","1","0","0.567","0.587","11.4","10.6","1.2","0.6","1.5","1","22","12.6","23.2","8.2","126.5","110.8"
"","Ivica Zubac","Lac","C","27","61","26.4","16","13.6","145","0.697","451","0.656","0","0","0.656","0.673","11.4","9","1.4","0.3","1.2","1.2","20.4","12.7","21.8","7.9","132","106.6"
"","Jusuf Nurkic","Pho","C","29.6","69","27.1","19.5","21.1","236","0.631","497","0.563","87","0.241","0.533","0.561","11.2","10.9","3.7","1","1","2.3","22.1","14.9","25.8","11.3","113.3","100.7"
"","Mike Conley","Min","G","36.5","68","28.9","15.6","12.3","99","0.899","216","0.486","355","0.431","0.586","0.617","11.1","2.9","6","1.1","0.2","1.2","14","17.2","20","8","130.8","107.7"
"","Jakob Poeltl","Tor","C","28.5","50","26.4","16.3","16.9","107","0.551","378","0.656","0","0","0.656","0.653","11.1","8.6","2.5","0.7","1.5","1.5","19.7","13.6","22.2","9.4","123.8","107.5"
"","Luke Kennard","Mem","G","27.8","36","25.2","16.7","13.5","44","0.886","69","0.449","218","0.454","0.625","0.65","11.1","2.8","3.3","0.5","0","1.3","13.9","14.4","17.2","7.4","123.4","116"
"","Herbert Jones","Nor","G","25.5","67","29.8","14.2","13.6","140","0.857","277","0.581","237","0.422","0.605","0.645","11.1","3.6","2.6","1.3","0.9","1.2","14.6","13.7","17.2","6.3","125.3","106"
"","Zach Collins","San","C","26.4","61","22.5","22.1","18.3","143","0.741","374","0.556","161","0.304","0.526","0.559","11","5.1","2.9","0.5","0.7","2","16.1","13.8","19","9.7","106.5","106.3"
"","Wendell Carter Jr.","Orl","C","25","46","25.9","17.1","14.2","119","0.689","221","0.62","134","0.373","0.597","0.621","11","6.9","1.7","0.6","0.5","1.3","17.9","12.7","19.6","7.8","121.1","105.2"
"","Russell Westbrook","Lac","G","35.4","61","22.4","25","17.1","143","0.678","451","0.508","142","0.261","0.48","0.508","10.9","5","4.4","1.1","0.3","2","15.9","15.3","20.3","11.1","107.2","109.6"
"","Moritz Wagner","Orl","F-C","26.9","71","18","22.7","14.8","188","0.803","392","0.671","102","0.324","0.633","0.673","10.9","4.5","1.3","0.5","0.3","1.2","15.4","12.2","16.7","8.9","125.9","102.5"
"","Daniel Gafford","Was","C","25.5","45","26.5","13.9","13.5","119","0.706","294","0.69","0","0","0.69","0.707","10.9","8","1.5","1","2.2","1","18.9","12.4","20.4","7.7","136.9","108.7"
"","Isaiah Stewart","Det","F","22.9","46","30.9","14.5","14.7","85","0.753","207","0.575","175","0.383","0.575","0.6","10.9","6.6","1.6","0.4","0.8","1.4","17.6","12.5","19.2","6.3","113.4","115.6"
"","Santi Aldama","Mem","F-C","23.2","60","26.6","18.2","10.9","87","0.621","263","0.532","302","0.351","0.529","0.54","10.9","5.8","2.3","0.7","0.9","1.2","16.7","13.1","19","7.9","108.4","111.9"
"","Jaden McDaniels","Min","F","23.5","63","29.3","15.9","12","70","0.714","333","0.592","225","0.351","0.565","0.578","10.8","3.1","1.3","0.9","0.6","1.2","13.9","12.2","15.3","4.8","108.9","102.8"
"","Luguentz Dort","Okc","F","24.9","71","28.5","15.1","9.9","125","0.848","232","0.5","351","0.399","0.559","0.594","10.7","3.7","1.4","0.9","0.6","0.9","14.3","12.1","15.7","5.4","117.6","107.5"
"","P.J. Washington","Dal","F","25.6","21","32.1","15.4","8.4","35","0.629","92","0.554","116","0.276","0.476","0.492","10.5","6","1.3","1","0.9","0.9","16.5","11.8","17.8","5.4","102.3","112.6"
"","Bojan Bogdanovic","Nyk","F","34.9","20","20.4","24","14.5","31","0.806","87","0.46","96","0.354","0.497","0.526","10.4","2.1","1.1","0.3","0.1","1.6","12.5","11.4","13.5","5.7","99.4","109.6"
"","Marvin Bagley III","Det","F","25","26","18.4","21","13.8","61","0.82","175","0.606","6","0.167","0.594","0.638","10.2","4.5","1","0.2","0.5","1.1","14.7","11.2","15.8","7.8","121.1","114.4"
"","Kevin Huerter","Sac","G","25.6","64","24.4","17.3","8.6","47","0.766","219","0.571","341","0.361","0.553","0.564","10.2","3.5","2.6","0.7","0.4","0.8","13.7","12.8","16.3","7.4","115.7","110.9"
"","Onyeka Okongwu","Atl","F-C","23.3","55","25.5","13.6","11","116","0.793","296","0.676","69","0.333","0.642","0.674","10.2","6.8","1.3","0.5","1.1","0.8","17","11.5","18.4","7","136.1","110.3"
"","Reggie Jackson","Den","G","34","74","22.1","21.6","12.5","87","0.793","423","0.487","251","0.351","0.501","0.523","10.1","1.9","3.8","0.6","0.1","1.3","11.9","13.9","15.8","7.6","109","111.7"
"","Caleb Martin","Mia","F","28.5","56","27.1","17.4","11.8","89","0.787","288","0.49","199","0.362","0.511","0.54","10.1","4.6","2.1","0.8","0.4","1.2","14.7","12.3","16.8","6.8","108.7","108"
"","Alex Caruso","Chi","G","30.1","65","28.1","15","15.3","92","0.761","192","0.573","301","0.395","0.585","0.606","10","3.8","3.2","1.6","1","1.4","13.8","13.2","17","7.1","118.4","109.3"
"","Obi Toppin","Ind","F","26.1","75","21.3","16.2","10.7","93","0.763","292","0.699","224","0.402","0.657","0.672","10","3.8","1.5","0.5","0.5","0.8","13.8","11.5","15.3","7.2","127.6","114.9"
"","Patrick Williams","Chi","F","22.6","43","27.3","16.7","13.7","66","0.788","211","0.474","148","0.399","0.525","0.553","10","3.9","1.5","0.9","0.8","1.3","13.8","11.5","15.4","5.7","107","112.8"
"","Vince Williams Jr.","Mem","G","23.6","52","27.6","15.8","19.5","130","0.8","170","0.529","209","0.378","0.55","0.597","10","5.6","3.4","0.9","0.7","1.8","15.6","13.4","19","8.3","114.1","107.6"
"","Josh Richardson","Mia","G","30.5","43","25.6","16.4","9.4","54","0.944","157","0.561","190","0.347","0.539","0.573","9.9","2.8","2.4","0.6","0.3","0.8","12.7","12.3","15.1","6.3","115.7","109.7"
"","Lonnie Walker IV","Bro","G-F","25.3","52","17.1","24.6","9.5","53","0.774","193","0.472","244","0.398","0.541","0.558","9.9","2","1.2","0.6","0.3","0.9","11.9","11.1","13.1","6.7","107","112.4"
"","Jalen Smith","Ind","F-C","24","54","17.5","19","10.1","94","0.681","216","0.699","131","0.435","0.682","0.691","9.9","5.5","1","0.3","0.6","0.7","15.5","11","16.5","8.7","133.2","108.4"
"","Kentavious Caldwell-Pope","Den","G","31.1","68","31.8","12.8","11.6","107","0.916","253","0.506","265","0.396","0.551","0.592","9.8","2.4","2.4","1.4","0.5","1","12.3","12.2","14.6","4.8","117.6","112.9"
"","Nick Richards","Cha","C","26.3","63","26.6","13.2","16.2","176","0.733","355","0.69","1","0","0.688","0.714","9.8","8.3","0.8","0.3","1.2","1.1","18.1","10.6","19","6","133.6","111.1"
"","Tari Eason","Hou","F","22.9","22","21.8","19.8","9.6","33","0.636","139","0.504","50","0.36","0.513","0.528","9.8","7","1.2","1.4","0.9","0.9","16.7","11","18","8","110.5","100.4"
"","T.J. McConnell","Ind","G","32","64","18","23.2","16.2","60","0.783","473","0.562","37","0.378","0.563","0.579","9.7","2.7","5.3","1","0.1","1.5","12.4","15","17.7","11.5","118.7","116.1"
"","Tre Jones","San","G","24.2","69","27.1","14.8","16.5","113","0.876","347","0.588","159","0.346","0.566","0.605","9.7","3.4","6.1","1","0.1","1.4","13.2","15.8","19.3","8.6","124.9","117.3"
"","Cameron Payne","Phi","G","29.6","23","18.6","23.9","11.4","23","0.913","103","0.456","98","0.367","0.502","0.528","9.7","1.5","3","0.5","0.3","1.1","11.2","12.7","14.3","7.6","109.9","112.7"
"","Georges Niang","Cle","F","30.8","74","22.6","17.6","10.1","56","0.857","216","0.574","361","0.385","0.576","0.593","9.6","3.5","1.2","0.3","0.2","0.9","13.1","10.9","14.3","6.1","110.9","105.3"
"","Talen Horton-Tucker","Uta","G","23.3","46","19.1","23.5","12.6","96","0.802","241","0.432","155","0.323","0.452","0.496","9.5","2.3","3.6","0.9","0.3","1.2","11.8","13","15.4","9","108.3","113.6"
"","Isaac Okoro","Cle","F","23.2","65","27.4","14.1","10.5","122","0.68","255","0.565","206","0.388","0.573","0.594","9.4","3","1.9","0.8","0.5","0.8","12.4","11.3","14.3","5.5","119.5","109.4"
"","Andrew Nembhard","Ind","G-F","24.2","61","24.7","16.4","16.1","47","0.787","326","0.564","152","0.362","0.558","0.572","9.3","2.1","4.1","0.9","0.1","1.5","11.4","13.4","15.5","7","113.1","115.9"
"","Duop Reath","Por","C","27.8","60","18.2","20.6","10.4","83","0.735","222","0.581","217","0.369","0.567","0.588","9.3","3.6","1.1","0.5","0.6","0.9","12.9","10.4","14","7.3","116.8","107.4"
"","Bruce Brown","Tor","G-F","27.6","28","26.2","16.4","14.2","48","0.896","172","0.5","51","0.294","0.487","0.533","9.3","4","2.7","0.7","0.3","1.3","13.3","12","15.9","7.1","107.6","115.1"
"","Amen Thompson","Hou","G-F","21.2","54","21.4","18.9","16.8","129","0.674","326","0.595","55","0.145","0.541","0.57","9.2","6.3","2.4","1.2","0.6","1.4","15.6","11.6","18","9.7","115.4","101.7"
"","Brandin Podziemski","Gol","G","21.1","65","26.7","15.5","13","76","0.618","318","0.497","212","0.368","0.519","0.53","9.2","5.7","3.7","0.9","0.2","1.2","14.9","12.9","18.6","8.7","115.6","111.8"
"","Chris Paul","Gol","G","38.9","49","26.4","15.1","13.5","50","0.82","209","0.498","174","0.379","0.53","0.552","9.1","4","7","1.1","0.1","1.2","13.1","16.1","20.1","9.6","126.7","111.1"
"","Taurean Prince","Lal","F","30","70","27.8","13.7","10.7","64","0.719","192","0.531","332","0.392","0.567","0.58","9.1","2.9","1.6","0.7","0.5","0.9","12","10.7","13.6","5","108.1","112.3"
"","Kevin Love","Mia","F","35.6","47","17.5","21.1","11.1","104","0.779","93","0.656","212","0.349","0.564","0.606","9","6.2","2.2","0.3","0.2","0.8","15.3","11.3","17.5","11.4","123.9","100.6"
"","Josh Hart","Nyk","G","29.1","72","32.9","13.4","14.5","96","0.771","351","0.496","245","0.306","0.481","0.507","9","8.2","3.9","0.9","0.3","1.4","17.2","12.9","21.1","8","112.8","107.7"
"","Seth Curry","Cha","G","33.6","8","19.8","19.2","7.8","12","0.917","31","0.548","28","0.321","0.517","0.56","9","2","1.8","0.6","0.4","0.6","11","10.8","12.8","6.4","114.6","120"
"","Simone Fontecchio","Uta","F","28.3","50","23.2","15.4","12.5","40","0.8","125","0.56","233","0.391","0.577","0.592","8.9","3.5","1.5","0.6","0.4","1","12.4","10.4","13.9","6.2","115.1","117"
"","Dereck Lively II","Dal","C","20.1","54","23.7","12.7","14.5","81","0.506","293","0.751","2","0","0.746","0.727","8.9","7","1.1","0.6","1.4","0.9","15.9","10","17","6.9","137.9","106.2"
"","Derrick Jones Jr.","Dal","F","27.1","68","23.4","14.8","11.5","122","0.713","226","0.633","214","0.35","0.581","0.606","8.8","3.3","1","0.7","0.6","0.8","12.1","9.8","13.1","5.3","118","113.7"
"","Jake LaRavia","Mem","F","22.4","28","20.3","20.6","10.5","78","0.782","104","0.433","108","0.296","0.439","0.501","8.8","3.6","1.4","0.8","0.3","0.9","12.4","10.3","13.8","7","106.9","109"
"","Ausar Thompson","Det","F","21.2","63","25.1","16.5","14.9","119","0.597","367","0.575","113","0.186","0.505","0.522","8.8","6.4","1.9","1.1","0.9","1.3","15.2","10.7","17.1","7.6","106.3","108.7"
